                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1668,                 2.4529,                 1.3874,                0.58906,                0.55556,                 0.5398,                0.37415,                0.81919,                 1.5659,                 1.2515,             0.00037154,             0.00037154,             0.00037154
                      2,                0.89329,                 1.2151,                 1.2136,                  0.513,                0.74236,                0.61176,                0.43593,                0.97329,                 1.8041,                 1.2725,             0.00075487,             0.00075487,             0.00075487
                      3,                0.94209,                 1.0834,                 1.2374,                0.23512,                0.36806,                0.20526,                0.13686,                 1.7093,                 2.5373,                 2.2007,              0.0011357,              0.0011357,              0.0011357
                      4,                0.92472,                 1.0767,                 1.2189,                  0.432,                0.42153,                0.31541,                0.18921,                 2.0796,                 3.3555,                 2.6918,              0.0014149,              0.0014149,              0.0014149
                      5,                0.90656,                0.99414,                 1.2066,                0.64187,                0.74744,                0.70364,                0.48723,                0.98676,                 1.6002,                 1.4863,              0.0014101,              0.0014101,              0.0014101
                      6,                0.89383,                0.96886,                 1.1851,                0.82312,                0.60884,                0.70912,                0.48554,                 0.8058,                 1.6325,                  1.269,              0.0014054,              0.0014054,              0.0014054
                      7,                0.88596,                0.95523,                 1.1811,                0.61052,                0.87222,                0.80456,                0.60091,                0.74408,                 1.1427,                 1.2795,              0.0014007,              0.0014007,              0.0014007
                      8,                0.89655,                0.89113,                 1.1989,                 0.9198,                0.84861,                0.91331,                0.75048,                0.70676,                0.81382,                 1.3301,               0.001396,               0.001396,               0.001396
                      9,                0.87438,                 0.8469,                 1.1727,                 0.8008,                 0.7015,                0.77169,                0.60336,                0.73202,                0.85579,                 1.2571,              0.0013913,              0.0013913,              0.0013913
                     10,                0.84912,                0.79105,                 1.1613,                0.91612,                0.92222,                0.97613,                0.81111,                0.56145,                0.65613,                  1.054,              0.0013866,              0.0013866,              0.0013866
                     11,                0.79086,                0.75819,                 1.1176,                0.84785,                0.77248,                0.84217,                 0.6844,                0.62184,                0.87398,                 1.1721,              0.0013818,              0.0013818,              0.0013818
                     12,                0.78877,                0.76211,                 1.1284,                0.95715,                0.86111,                 0.9534,                0.79614,                0.62107,                0.65264,                 1.0892,              0.0013771,              0.0013771,              0.0013771
                     13,                0.79236,                0.79386,                 1.1464,                0.92404,                0.95216,                0.97549,                0.83381,                0.57336,                0.57304,                 1.0871,              0.0013724,              0.0013724,              0.0013724
                     14,                0.80748,                0.73014,                 1.1352,                0.88725,                0.88264,                0.93281,                0.65793,                 0.7491,                0.78311,                 1.2604,              0.0013677,              0.0013677,              0.0013677
                     15,                0.78807,                0.73434,                 1.1415,                0.91771,                0.91667,                0.98649,                0.83808,                0.57059,                0.51716,                 1.0995,               0.001363,               0.001363,               0.001363
                     16,                0.78605,                0.71051,                 1.1399,                 0.9662,                0.84236,                0.94089,                0.75009,                0.70793,                 0.5688,                 1.1663,              0.0013583,              0.0013583,              0.0013583
                     17,                0.81472,                 0.7224,                 1.1352,                0.97406,                0.96229,                0.96969,                0.80736,                0.55448,                0.49231,                 1.0499,              0.0013535,              0.0013535,              0.0013535
                     18,                0.75895,                0.71018,                 1.1136,                0.97382,                0.97813,                0.99313,                 0.7931,                0.62308,                0.58584,                 1.0702,              0.0013488,              0.0013488,              0.0013488
                     19,                0.73907,                0.67948,                 1.1085,                0.90632,                0.96458,                0.98349,                0.80144,                0.55246,                0.53442,                 1.0299,              0.0013441,              0.0013441,              0.0013441
                     20,                0.70953,                0.67672,                 1.0978,                0.96998,                0.97222,                0.97492,                0.83187,                0.51228,                0.42469,                 1.0458,              0.0013394,              0.0013394,              0.0013394
                     21,                0.75304,                0.67796,                  1.104,                0.93551,                 0.8843,                0.95728,                0.76882,                0.63191,                0.61171,                 1.1135,              0.0013347,              0.0013347,              0.0013347
                     22,                0.71755,                 0.6656,                 1.0696,                0.92819,                0.98668,                0.99417,                0.86646,                0.53775,                 0.4714,                 1.0435,                0.00133,                0.00133,                0.00133
                     23,                0.71737,                  0.638,                  1.085,                0.96503,                0.99748,                0.99488,                0.87146,                0.50106,                0.39027,                 1.0288,              0.0013253,              0.0013253,              0.0013253
                     24,                0.67499,                0.64418,                  1.067,                 0.9578,                0.88255,                0.94842,                0.82494,                0.52019,                0.49894,                 1.0238,              0.0013205,              0.0013205,              0.0013205
                     25,                0.69862,                0.62936,                 1.0884,                0.95421,                 0.9058,                0.98957,                0.79674,                0.60203,                0.54856,                 1.0906,              0.0013158,              0.0013158,              0.0013158
                     26,                0.76231,                0.63833,                 1.0931,                0.94121,                0.95105,                0.98186,                0.79978,                0.63795,                0.50116,                 1.0889,              0.0013111,              0.0013111,              0.0013111
                     27,                0.69685,                0.59866,                 1.0678,                0.99203,                      1,                  0.995,                0.86241,                0.49498,                0.37319,                0.99815,              0.0013064,              0.0013064,              0.0013064
                     28,                0.68186,                0.63911,                  1.062,                0.92094,                0.88889,                0.95574,                0.85314,                 0.4486,                0.51252,                0.97317,              0.0013017,              0.0013017,              0.0013017
