                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62337,                 1.2513,                 1.1602,                0.86176,                0.93266,                0.91267,                0.77434,                0.65546,                0.78444,                 1.5261,             0.00054863,             0.00054863,             0.00054863
                      2,                0.55329,                0.68542,                 1.0951,                0.71551,                0.87023,                0.87969,                0.64436,                0.76813,                0.98161,                 1.5072,              0.0010988,              0.0010988,              0.0010988
                      3,                0.56862,                0.64574,                 1.0929,                0.60635,                0.86352,                0.71769,                0.59252,                0.80579,                0.87035,                 1.4787,              0.0016435,              0.0016435,              0.0016435
                      4,                0.54828,                0.57529,                 1.0911,                0.83626,                  0.822,                0.88756,                0.68786,                0.67361,                0.67694,                 1.2649,              0.0016422,              0.0016422,              0.0016422
                      5,                0.52992,                0.59628,                 1.0814,                0.69855,                0.86128,                0.98344,                0.83038,                0.68133,                0.77711,                 1.3202,               0.001634,               0.001634,               0.001634
                      6,                0.50568,                 0.5449,                 1.0607,                0.58903,                0.89216,                0.90221,                0.75758,                0.63877,                0.95823,                 1.2344,              0.0016257,              0.0016257,              0.0016257
                      7,                0.49709,                0.54453,                 1.0547,                0.85773,                0.97549,                0.99029,                0.83292,                0.66011,                0.54601,                  1.274,              0.0016175,              0.0016175,              0.0016175
                      8,                0.49015,                0.50146,                 1.0559,                0.85737,                0.98654,                0.99115,                0.85986,                0.62758,                0.44104,                 1.2365,              0.0016092,              0.0016092,              0.0016092
                      9,                0.49481,                0.49112,                 1.0531,                0.95743,                0.96878,                0.98084,                0.82475,                 0.7427,                0.50945,                 1.3896,               0.001601,               0.001601,               0.001601
                     10,                0.46576,                0.50476,                 1.0401,                0.88535,                0.86583,                0.97159,                0.84436,                0.62556,                0.53425,                 1.2228,              0.0015927,              0.0015927,              0.0015927
                     11,                0.47516,                0.46508,                 1.0333,                0.96482,                0.99029,                0.99245,                 0.8733,                0.59332,                 0.2855,                 1.2047,              0.0015845,              0.0015845,              0.0015845
                     12,                0.45826,                0.47217,                 1.0295,                0.99284,                0.96388,                0.99252,                0.87986,                0.59421,                0.33063,                 1.2066,              0.0015762,              0.0015762,              0.0015762
                     13,                0.46493,                0.47077,                 1.0302,                0.93917,                0.96878,                0.98894,                0.86171,                0.59693,                0.37125,                 1.2025,               0.001568,               0.001568,               0.001568
                     14,                0.45025,                0.46031,                 1.0273,                0.92869,                 0.9951,                0.96262,                0.84582,                0.57637,                0.34383,                 1.1307,              0.0015597,              0.0015597,              0.0015597
                     15,                0.45162,                0.44457,                 1.0229,                0.97927,                0.99563,                0.99495,                0.87373,                0.59972,                0.33661,                 1.1737,              0.0015515,              0.0015515,              0.0015515
                     16,                 0.4476,                0.44606,                 1.0233,                0.99287,                0.98514,                0.99495,                0.86406,                0.57839,                0.29263,                 1.1716,              0.0015432,              0.0015432,              0.0015432
                     17,                0.44137,                0.44957,                 1.0269,                0.99069,                0.99586,                 0.9949,                0.87878,                0.56608,                0.27354,                 1.1368,               0.001535,               0.001535,               0.001535
                     18,                0.42789,                0.44512,                 1.0256,                0.97026,                0.98193,                0.99456,                0.87768,                0.59759,                0.35775,                 1.1506,              0.0015267,              0.0015267,              0.0015267
                     19,                0.43484,                0.43336,                 1.0127,                0.98666,                 0.9951,                  0.995,                0.88042,                0.59684,                0.31556,                 1.1728,              0.0015185,              0.0015185,              0.0015185
                     20,                0.43655,                0.42308,                 1.0199,                0.99103,                0.96508,                0.99375,                0.87596,                0.55753,                0.29945,                 1.1224,              0.0015102,              0.0015102,              0.0015102
                     21,                0.44027,                0.42065,                 1.0232,                0.95825,                0.95123,                0.98391,                0.86911,                 0.5846,                 0.3439,                 1.1768,               0.001502,               0.001502,               0.001502
                     22,                0.42632,                0.41779,                 1.0231,                0.90921,                0.98471,                0.99262,                0.86571,                0.63031,                0.47137,                 1.2651,              0.0014937,              0.0014937,              0.0014937
                     23,                0.43153,                0.40099,                 1.0091,                0.99403,                0.99837,                  0.995,                0.88642,                0.57302,                 0.2465,                 1.1561,              0.0014855,              0.0014855,              0.0014855
                     24,                0.43072,                0.40694,                 1.0186,                 0.9776,                0.96394,                0.97669,                0.84285,                0.59517,                0.38827,                 1.1758,              0.0014772,              0.0014772,              0.0014772
                     25,                0.42042,                0.41248,                 1.0082,                0.94493,                0.96709,                0.96956,                0.86029,                0.56098,                0.34214,                 1.1206,               0.001469,               0.001469,               0.001469
                     26,                0.42381,                0.40213,                 1.0129,                0.99191,                0.99148,                  0.995,                0.86568,                0.56635,                0.32174,                 1.1446,              0.0014607,              0.0014607,              0.0014607
                     27,                0.42774,                0.42027,                 1.0182,                0.97065,                0.99235,                0.99375,                0.86904,                0.55534,                0.30262,                  1.143,              0.0014525,              0.0014525,              0.0014525
                     28,                0.42967,                0.41055,                 1.0112,                0.89622,                0.94335,                0.99086,                0.86778,                0.63463,                0.40623,                 1.2386,              0.0014442,              0.0014442,              0.0014442
                     29,                 0.4215,                0.40288,                 1.0112,                 0.9732,                0.96878,                0.97118,                0.85485,                0.59372,                0.35598,                 1.1739,               0.001436,               0.001436,               0.001436
                     30,                0.42236,                0.40392,                 1.0123,                0.95551,                0.96001,                0.98773,                 0.8605,                0.60853,                0.41564,                 1.2008,              0.0014277,              0.0014277,              0.0014277
                     31,                0.41993,                0.38807,                 1.0141,                0.92227,                0.96878,                0.96482,                0.85264,                0.56595,                0.37785,                 1.1435,              0.0014195,              0.0014195,              0.0014195
                     32,                0.40554,                0.38642,                 1.0035,                0.95759,                0.93378,                0.99495,                0.86831,                0.58183,                0.31184,                 1.1562,              0.0014112,              0.0014112,              0.0014112
                     33,                0.42009,                0.39221,                 1.0118,                 0.8819,                0.95524,                0.97115,                0.87354,                0.56628,                0.33408,                 1.1104,              0.0014029,              0.0014029,              0.0014029
                     34,                0.41712,                0.39569,                 1.0091,                0.97963,                0.96149,                0.97189,                0.84392,                0.62262,                0.35696,                 1.2502,              0.0013947,              0.0013947,              0.0013947
                     35,                0.41632,                0.39851,                 1.0075,                0.98572,                0.95145,                0.98974,                0.87492,                0.55035,                0.29673,                 1.0978,              0.0013864,              0.0013864,              0.0013864
                     36,                0.40748,                0.37276,                  1.003,                 0.9711,                 0.9693,                0.97528,                0.87064,                0.55496,                0.25564,                 1.1087,              0.0013782,              0.0013782,              0.0013782
                     37,                0.41412,                0.38975,                 1.0121,                0.94579,                0.94242,                  0.995,                0.87569,                0.57739,                0.36457,                 1.1343,              0.0013699,              0.0013699,              0.0013699
                     38,                0.40207,                0.38406,                0.99931,                0.92384,                0.99035,                0.97599,                0.85058,                0.57514,                0.35991,                 1.1261,              0.0013617,              0.0013617,              0.0013617
                     39,                0.41964,                0.40062,                 1.0061,                0.94245,                0.96878,                0.94777,                0.85092,                0.57051,                0.29217,                 1.1225,              0.0013534,              0.0013534,              0.0013534
                     40,                0.40571,                0.38449,                 1.0014,                0.92249,                0.96388,                0.96903,                0.85738,                0.59028,                0.30065,                 1.1303,              0.0013452,              0.0013452,              0.0013452
                     41,                0.40312,                0.37951,                0.99729,                0.96198,                0.96581,                0.96956,                0.85943,                0.57145,                0.26815,                 1.1187,              0.0013369,              0.0013369,              0.0013369
                     42,                0.39508,                0.39227,                0.99695,                0.95016,                0.93967,                0.96973,                0.86659,                0.58061,                 0.3191,                 1.1277,              0.0013287,              0.0013287,              0.0013287
                     43,                0.38789,                0.37731,                 0.9962,                  0.971,                0.95408,                0.97123,                0.87316,                0.56583,                0.29381,                 1.1172,              0.0013204,              0.0013204,              0.0013204
                     44,                0.39795,                0.37315,                 1.0001,                0.97175,                 0.9951,                0.99375,                0.87244,                0.55614,                0.27218,                 1.0977,              0.0013122,              0.0013122,              0.0013122
                     45,                0.39511,                0.37451,                0.99197,                0.99648,                0.99545,                  0.995,                0.85369,                0.57516,                0.26176,                 1.1193,              0.0013039,              0.0013039,              0.0013039
                     46,                0.40599,                0.36598,                  1.003,                0.99258,                0.98529,                 0.9949,                0.88563,                0.56072,                 0.2564,                 1.1117,              0.0012957,              0.0012957,              0.0012957
                     47,                0.39781,                0.37441,                0.99855,                0.98315,                 0.9951,                  0.995,                0.89302,                0.53601,                0.24498,                 1.0908,              0.0012874,              0.0012874,              0.0012874
                     48,                0.40506,                0.36342,                 1.0022,                0.98963,                 0.9671,                 0.9937,                0.89033,                0.56576,                0.29155,                 1.1399,              0.0012792,              0.0012792,              0.0012792
                     49,                0.39669,                0.37939,                0.99542,                 0.9923,                0.99506,                0.99495,                0.85566,                 0.5666,                0.27087,                 1.1234,              0.0012709,              0.0012709,              0.0012709
                     50,                0.40632,                0.36986,                 1.0037,                0.95012,                0.96256,                0.96998,                0.85225,                0.55214,                0.32248,                 1.1077,              0.0012627,              0.0012627,              0.0012627
                     51,                0.39941,                0.36286,                0.99721,                0.94554,                0.96878,                0.97356,                0.86794,                 0.5774,                0.27284,                 1.1417,              0.0012544,              0.0012544,              0.0012544
