                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.137,                 2.3239,                 1.3737,                 0.6559,                0.74045,                0.73016,                0.49369,                0.72516,                 2.2614,                 1.1362,             0.00040012,             0.00040012,             0.00040012
                      2,                0.96475,                 1.3409,                 1.2356,                0.62977,                0.76029,                0.68256,                0.46224,                0.98191,                 1.8956,                 1.5365,             0.00081251,             0.00081251,             0.00081251
                      3,                 1.0052,                 1.1531,                 1.2565,                0.29508,                0.38971,                0.33257,                0.20055,                 1.1921,                 2.6916,                 1.7361,              0.0012229,              0.0012229,              0.0012229
                      4,                 1.0625,                 1.1493,                 1.3434,                0.06577,                0.10294,                0.04849,                 0.0135,                 2.2756,                  5.395,                 2.3061,              0.0014184,              0.0014184,              0.0014184
                      5,                 1.0154,                 1.0585,                 1.2699,                0.57454,                0.68852,                0.61054,                 0.3261,                 1.4494,                 1.5228,                 1.5546,              0.0014149,              0.0014149,              0.0014149
                      6,                 1.0145,                 1.0566,                 1.2674,                0.88208,                0.89445,                0.91548,                0.66751,                0.85568,                 1.4312,                 1.2143,              0.0014113,              0.0014113,              0.0014113
                      7,                0.94493,                0.93844,                 1.2229,                 0.5832,                    0.7,                0.72196,                0.57168,                0.71667,                 1.2576,                 1.2523,              0.0014078,              0.0014078,              0.0014078
                      8,                0.91253,                0.92513,                 1.1989,                0.84618,                0.81912,                0.88759,                0.68907,                0.70797,                0.76956,                 1.3023,              0.0014042,              0.0014042,              0.0014042
                      9,                0.91027,                0.94285,                 1.2118,                0.87029,                  0.875,                0.90982,                 0.7125,                0.68385,                0.71204,                 1.1387,              0.0014007,              0.0014007,              0.0014007
                     10,                0.90032,                0.89296,                 1.1921,                0.91418,                0.68088,                0.86053,                0.55923,                0.96067,                 1.0042,                 1.2097,              0.0013972,              0.0013972,              0.0013972
                     11,                0.83037,                0.85256,                  1.147,                0.93804,                0.85366,                0.92926,                 0.7189,                0.76175,                0.71128,                 1.1756,              0.0013936,              0.0013936,              0.0013936
                     12,                0.83759,                0.84681,                 1.1915,                0.93517,                0.91931,                0.97117,                0.80624,                0.57188,                0.60298,                 1.0595,              0.0013901,              0.0013901,              0.0013901
                     13,                0.83254,                0.80642,                  1.152,                0.87419,                0.82959,                0.91821,                0.77776,                0.59411,                0.68704,                 1.0671,              0.0013866,              0.0013866,              0.0013866
                     14,                0.83401,                0.79998,                 1.1625,                0.94367,                0.91241,                0.94797,                0.77731,                0.58219,                 0.5677,                 1.0641,               0.001383,               0.001383,               0.001383
                     15,                0.78832,                0.78821,                 1.1567,                0.89748,                0.82591,                0.91174,                0.50962,                 1.2951,                0.90867,                 1.5153,              0.0013795,              0.0013795,              0.0013795
                     16,                0.81355,                0.74753,                 1.1586,                0.74638,                0.84029,                0.84667,                0.67745,                 0.6777,                0.74592,                 1.1473,              0.0013759,              0.0013759,              0.0013759
                     17,                 0.8135,                0.77459,                 1.1513,                0.94555,                0.94347,                0.96121,                0.78038,                0.62238,                0.53338,                 1.0537,              0.0013724,              0.0013724,              0.0013724
                     18,                0.80678,                0.74323,                 1.1397,                0.93155,                0.81912,                0.93641,                 0.7895,                0.63711,                0.68408,                 1.0565,              0.0013689,              0.0013689,              0.0013689
                     19,                0.80188,                 0.7395,                 1.1278,                0.82093,                0.90339,                0.95237,                0.79884,                0.57867,                0.71503,                 1.0757,              0.0013653,              0.0013653,              0.0013653
                     20,                0.74112,                 0.7101,                 1.1041,                0.87888,                0.94983,                0.93557,                0.80211,                0.56421,                0.57117,                 1.1141,              0.0013618,              0.0013618,              0.0013618
